id,name,team,position,assist,chance_created,goals_score,goals_conceded,total_points,price,code
362,Ederson Santana de Moraes,Man City,Goalkeepers,0,0,0,6,43,60,121160
363,Nathan Aké,Man City,Defenders,0,12,0,1,14,48,126184
364,Aymeric Laporte,Man City,Defenders,0,51,1,5,35,55,146941
365,Zack Steffen,Man City,Goalkeepers,0,0,0,0,7,45,164484
366,Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielders,2,214,3,5,49,71,165809
367,Rúben Santos Gato Alves Dias,Man City,Defenders,1,110,0,6,49,61,171314
368,Gabriel Fernando de Jesus,Man City,Forwards,5,252,2,5,50,87,205651
369,Oleksandr Zinchenko,Man City,Defenders,0,8,0,0,2,53,206325
370,Phil Foden,Man City,Midfielders,2,190,3,5,40,83,209244
371,Rodrigo Hernandez,Man City,Midfielders,0,149,1,5,27,55,220566
372,Ferran Torres,Man City,Midfielders,1,30,2,1,26,67,224444
373,Fernando Luiz Rosa,Man City,Midfielders,0,42,0,2,9,48,27789
374,Cole Palmer,Man City,Midfielders,0,3,0,0,2,45,244851
375,Samuel Edozie,Man City,Midfielders,0,0,0,0,0,48,490503
376,Tommy Doyle,Man City,Midfielders,0,0,0,0,0,45,220394
377,Scott Carson,Man City,Goalkeepers,0,0,0,0,0,39,17601
378,Luke Mbete,Man City,Defenders,0,0,0,0,0,40,439510
379,Joshua Wilson-Esbrand,Man City,Defenders,0,0,0,0,0,40,447880
380,Romeo Lavia,Man City,Midfielders,0,0,0,0,0,45,514356
381,Cieran Slicker,Man City,Goalkeepers,0,0,0,0,0,40,434044
382,Edinson Cavani,Man Utd,Forwards,0,19,1,1,12,84,40720
383,David de Gea,Man Utd,Goalkeepers,0,0,0,17,39,50,51940
384,Nemanja Matic,Man Utd,Midfielders,2,75,0,4,15,45,62398
385,Paul Pogba,Man Utd,Midfielders,7,214,0,10,35,75,74208
386,Harry Maguire,Man Utd,Defenders,0,12,0,15,26,54,95658
387,Frederico Rodrigues de Paula Santos,Man Utd,Midfielders,0,109,1,12,19,49,101582
388,Luke Shaw,Man Utd,Defenders,1,361,0,16,25,52,106760
389,Jesse Lingard,Man Utd,Midfielders,0,26,2,2,16,68,109322
390,Bruno Miguel Borges Fernandes,Man Utd,Midfielders,3,524,4,17,52,117,141746
391,Anthony Martial,Man Utd,Forwards,0,12,1,1,11,76,148225
392,Alex Nicolao Telles,Man Utd,Defenders,0,0,0,0,1,50,152590
393,Dean Henderson,Man Utd,Goalkeepers,0,0,0,0,0,48,172649
394,Marcus Rashford,Man Utd,Midfielders,0,5,2,8,15,94,176297
395,Donny van de Beek,Man Utd,Midfielders,0,0,0,0,2,57,180184
396,Victor Lindelöf,Man Utd,Defenders,2,34,0,15,19,48,184667
397,Scott McTominay,Man Utd,Midfielders,0,111,0,12,18,54,195851
398,Eric Bailly,Man Utd,Defenders,0,1,0,2,-2,49,197365
399,Aaron Wan-Bissaka,Man Utd,Defenders,0,140,0,17,26,52,214590
400,Mason Greenwood,Man Utd,Midfielders,1,187,4,14,46,74,220688
401,Juan Mata,Man Utd,Midfielders,0,0,0,0,0,48,43670
402,Jadon Sancho,Man Utd,Midfielders,0,121,0,3,12,89,209243
403,Tom Heaton,Man Utd,Goalkeepers,0,0,0,0,0,40,21205
404,José Diogo Dalot Teixeira,Man Utd,Defenders,0,32,0,1,2,44,216051
405,Andreas Pereira,Man Utd,Midfielders,0,0,0,0,0,50,156689
406,Anthony Elanga,Man Utd,Midfielders,0,0,0,0,0,48,449434
407,Raphaël Varane,Man Utd,Defenders,1,27,0,4,26,55,90152
408,Cristiano Ronaldo dos Santos Aveiro,Man Utd,Forwards,1,112,4,15,38,124,14937
409,Joseph Willock,Newcastle,Midfielders,0,42,0,14,15,58,200089
410,Jonjo Shelvey,Newcastle,Midfielders,0,26,0,5,1,53,50232
411,Matt Ritchie,Newcastle,Defenders,1,367,0,24,12,49,56983
412,Ciaran Clark,Newcastle,Defenders,1,49,0,19,14,44,58845
413,Karl Darlow,Newcastle,Goalkeepers,0,0,0,12,19,45,59735
414,Martin Dubravka,Newcastle,Goalkeepers,0,0,0,0,0,44,67089
415,Callum Wilson,Newcastle,Forwards,0,41,4,14,32,73,75115
416,Jeff Hendrick,Newcastle,Midfielders,0,2,1,2,7,48,83314
417,Ryan Fraser,Newcastle,Midfielders,1,19,0,3,12,53,90105
418,Jamaal Lascelles,Newcastle,Defenders,0,32,0,17,6,44,101148
419,Dwight Gayle,Newcastle,Forwards,0,2,0,0,3,53,104547
420,Paul Dummett,Newcastle,Defenders,0,0,0,0,0,45,106618
421,Javier Manquillo,Newcastle,Defenders,2,44,1,13,20,40,109528
422,Emil Krafth,Newcastle,Defenders,1,14,0,9,10,43,111773
423,Jacob Murphy,Newcastle,Midfielders,2,39,1,11,22,49,114243
424,Fabian Schär,Newcastle,Defenders,0,8,0,4,0,43,119471
425,Isaac Hayden,Newcastle,Midfielders,0,32,1,19,24,45,153127
426,Allan Saint-Maximin,Newcastle,Forwards,3,242,2,24,45,68,170137
427,Miguel Almirón,Newcastle,Midfielders,0,131,0,19,17,52,179018
428,Sean Longstaff,Newcastle,Midfielders,0,67,1,18,22,45,180135
429,Joelinton Cássio Apolinário de Lira,Newcastle,Forwards,1,86,0,13,16,58,180974
430,Jamal Lewis,Newcastle,Defenders,0,0,0,1,1,43,194799
431,Matthew Longstaff,Newcastle,Midfielders,0,0,0,0,0,45,223175
432,Federico Fernández,Newcastle,Defenders,0,14,0,11,5,43,57145
433,Freddie Woodman,Newcastle,Goalkeepers,0,0,0,12,9,45,155503
434,Mark Gillespie,Newcastle,Goalkeepers,0,0,0,0,0,40,81441
435,Joe White,Newcastle,Midfielders,0,0,0,0,0,45,461484
436,Elliot Anderson,Newcastle,Midfielders,0,0,0,0,0,45,215379
437,Billy Gilmour,Norwich,Midfielders,0,57,0,13,9,44,243568
438,Brandon Williams,Norwich,Defenders,0,55,0,13,4,40,232937
439,Michael McGovern,Norwich,Goalkeepers,0,0,0,0,0,40,18499
440,Tim Krul,Norwich,Goalkeepers,0,0,0,26,32,45,20480
441,Teemu Pukki,Norwich,Forwards,0,76,3,24,37,58,57127
442,Marco Stiepermann,Norwich,Midfielders,0,0,0,0,0,50,71738
443,Lukas Rupp,Norwich,Midfielders,0,20,0,7,8,44,76306
444,Kenny McLean,Norwich,Midfielders,0,34,0,21,20,49,78607
445,Grant Hanley,Norwich,Defenders,0,47,0,25,18,44,83428
446,Onel Hernández,Norwich,Midfielders,0,0,0,0,0,49,89470
447,Sam Byram,Norwich,Defenders,0,0,0,0,0,44,113564
448,Jordan Hugill,Norwich,Forwards,0,0,0,0,0,54,167522
449,Kieran Dowell,Norwich,Midfielders,0,53,0,3,8,52,171270
450,Christoph Zimmermann,Norwich,Defenders,0,0,0,0,0,44,192303
451,Todd Cantwell,Norwich,Midfielders,0,42,0,12,6,53,193111
452,Max Aarons,Norwich,Defenders,0,131,0,26,17,43,232980
453,Jacob Sørensen,Norwich,Defenders,0,0,0,0,0,43,235546
454,Przemyslaw Placheta,Norwich,Midfielders,0,0,0,0,1,48,428626
455,Adam Idah,Norwich,Forwards,0,16,0,0,8,49,432735
456,Josh Martin,Norwich,Midfielders,0,0,0,0,0,50,439485
457,Andrew Omobamidele,Norwich,Defenders,0,2,1,6,13,39,466404
458,Angus Gunn,Norwich,Goalkeepers,0,0,0,0,0,40,107265
459,Milot Rashica,Norwich,Midfielders,1,139,0,21,20,52,212723
460,Ben Gibson,Norwich,Defenders,0,14,0,20,13,44,83312
461,Dimitris Giannoulis,Norwich,Defenders,0,41,0,8,16,44,189627
462,Pierre Lees-Melou,Norwich,Midfielders,1,153,0,16,19,49,212325
463,Bali Mumba,Norwich,Defenders,0,3,0,3,0,40,220686
464,Joshua Sargent,Norwich,Forwards,0,89,0,13,16,54,215476
465,Christos Tzolis,Norwich,Midfielders,0,47,0,3,5,48,439509
466,Ozan Kabak,Norwich,Defenders,0,12,0,13,13,45,438277
467,Mathias Normann,Norwich,Midfielders,1,94,1,13,24,45,179276
468,Theo Walcott,Southampton,Midfielders,0,15,0,5,7,58,20467
469,Fraser Forster,Southampton,Goalkeepers,0,0,0,0,0,44,40383
470,Alex McCarthy,Southampton,Goalkeepers,0,0,0,12,47,46,58376
471,Oriol Romeu Vidal,Southampton,Midfielders,0,140,0,10,22,45,78056
472,Nathan Redmond,Southampton,Midfielders,2,252,0,6,29,59,83283
473,Jack Stephens,Southampton,Defenders,0,26,0,6,9,44,88900
474,Stuart Armstrong,Southampton,Midfielders,0,62,0,0,4,58,91047
475,James Ward-Prowse,Southampton,Midfielders,0,253,2,10,29,63,101178
476,Kyle Walker-Peters,Southampton,Defenders,0,105,0,6,24,48,158534
477,Jan Bednarek,Southampton,Defenders,0,15,0,7,35,44,171771
478,Daniel N'Lundulu,Southampton,Forwards,0,0,0,0,0,45,200088
479,Che Adams,Southampton,Forwards,2,116,1,6,26,68,200439
480,Nathan Tella,Southampton,Midfielders,0,6,0,2,4,47,203389
481,William Smallbone,Southampton,Midfielders,0,0,0,0,0,45,214466
482,Michael Obafemi,Southampton,Forwards,0,0,0,0,0,45,220598
483,Ibrahima Diallo,Southampton,Midfielders,1,32,0,6,15,45,240143
484,Moussa Djenepo,Southampton,Midfielders,0,76,0,7,8,53,431131
485,Mohammed Salisu,Southampton,Defenders,0,53,0,12,32,45,450527
486,Romain Perraud,Southampton,Defenders,0,46,0,6,18,49,244560
487,Tino Livramento,Southampton,Defenders,1,150,1,12,48,45,441191
488,Mohamed Elyounoussi,Southampton,Midfielders,0,93,1,6,27,55,96787
489,Armando Broja,Southampton,Forwards,0,17,2,3,21,50,440323
490,Shane Long,Southampton,Forwards,0,0,0,0,1,54,20452
491,Adam Armstrong,Southampton,Forwards,2,107,2,10,36,59,155511
492,Yan Valery,Southampton,Defenders,0,0,0,0,0,40,213482
493,Lyanco Evangelista Silveira Neves Vojnovic,Southampton,Defenders,0,0,0,0,2,45,212721
494,Joe Hart,Spurs,Goalkeepers,0,0,0,0,0,45,15749
495,Hugo Lloris,Spurs,Goalkeepers,0,23,0,16,46,54,37915
496,Toby Alderweireld,Spurs,Defenders,0,0,0,0,0,50,55605
497,Erik Lamela,Spurs,Midfielders,0,0,0,0,0,60,62974
498,Harry Kane,Spurs,Forwards,1,116,1,16,27,122,78830
499,Serge Aurier,Spurs,Defenders,0,0,0,0,0,49,80226
500,Heung-Min Son,Spurs,Midfielders,2,284,4,13,58,103,85971
501,Matt Doherty,Spurs,Defenders,0,5,0,0,2,47,87835
502,Eric Dier,Spurs,Defenders,0,39,0,13,36,45,93264
503,Lucas Rodrigues Moura da Silva,Spurs,Midfielders,0,161,0,11,19,64,95715
504,Bamidele Alli,Spurs,Midfielders,0,18,1,10,20,64,108823
505,Ben Davies,Spurs,Defenders,0,16,0,6,6,44,115556
506,Pierre-Emile Højbjerg,Spurs,Midfielders,1,110,1,16,36,49,132015
507,Harry Winks,Spurs,Midfielders,0,1,0,0,2,44,157668
508,Davinson Sánchez,Spurs,Defenders,0,4,0,4,21,45,173904
509,Ryan Sessegnon,Spurs,Defenders,0,0,0,0,0,43,184349
510,Steven Bergwijn,Spurs,Midfielders,2,51,0,2,17,59,194252
511,Sergio Reguilón,Spurs,Defenders,2,177,0,13,41,50,199249
512,Japhet Tanganga,Spurs,Defenders,0,37,0,6,14,43,199584
513,Giovani Lo Celso,Spurs,Midfielders,0,73,0,4,9,59,200826
514,Oliver Skipp,Spurs,Midfielders,0,50,0,10,19,45,209042
515,Joe Rodon,Spurs,Defenders,0,0,0,3,1,43,214225
516,Tanguy Ndombele,Spurs,Midfielders,0,66,1,10,16,58,231372
517,Pierluigi Gollini,Spurs,Goalkeepers,0,0,0,0,0,43,156683
518,Bryan Gil Salvatierra,Spurs,Midfielders,0,5,0,1,5,57,436234
519,Cristian Romero,Spurs,Defenders,0,7,0,9,13,49,221632
520,Dane Scarlett,Spurs,Forwards,0,0,0,0,0,45,490145
521,Emerson Aparecido Leite de Souza Junior,Spurs,Defenders,0,73,0,13,14,49,241157
522,Dilan Markanday,Spurs,Midfielders,0,0,0,0,0,45,232456
523,Tobi Omole,Spurs,Defenders,0,0,0,0,0,40,209418
524,Moussa Sissoko,Watford,Midfielders,0,129,0,15,16,45,45268
525,Ben Foster,Watford,Goalkeepers,0,0,0,12,23,41,9089
526,Danny Rose,Watford,Defenders,0,79,0,11,7,42,38290
527,Dan Gosling,Watford,Midfielders,0,0,0,2,1,48,40387
528,Craig Cathcart,Watford,Defenders,1,19,0,16,13,44,41338
529,Troy Deeney,Watford,Forwards,0,11,0,1,2,54,41725
530,Tom Cleverley,Watford,Midfielders,1,83,0,8,13,48,43250
531,Francisco Femenía Far,Watford,Defenders,1,41,0,8,8,43,54484
532,Andre Gray,Watford,Forwards,0,0,0,0,0,54,73426
533,Christian Kabasele,Watford,Defenders,0,0,0,4,3,43,85624
534,Nathaniel Chalobah,Watford,Midfielders,0,0,0,0,0,50,89085
535,William Troost-Ekong,Watford,Defenders,0,14,0,18,12,44,131304
536,Stipe Perica,Watford,Forwards,0,0,0,0,0,45,140941
537,Daniel Bachmann,Watford,Goalkeepers,0,0,0,7,8,43,154506
538,Adam Masina,Watford,Defenders,0,53,0,10,7,43,155651
539,Ken Sema,Watford,Midfielders,0,44,0,5,7,52,157775
540,Philip Zinckernagel,Watford,Midfielders,0,0,0,0,0,55,162344
541,Isaac Success Ajayi,Watford,Forwards,0,0,0,0,0,50,173514
542,Ayotomiwa Dele-Bashiru,Watford,Midfielders,0,0,0,0,0,45,175353
543,Ashley Fletcher,Watford,Forwards,0,0,0,0,2,49,176296
544,Francisco Sierralta,Watford,Defenders,0,0,0,4,3,43,208973
545,Domingos Quina,Watford,Midfielders,0,0,0,0,0,45,216058
546,Marc Navarro,Watford,Defenders,0,0,0,0,0,40,220166
547,Ismaila Sarr,Watford,Midfielders,0,155,4,19,48,61,232185
548,Jeremy Ngakia,Watford,Defenders,0,22,0,6,8,43,232391
549,Ben Wilmot,Watford,Defenders,0,0,0,0,0,45,241289
550,Joseph Hungbo,Watford,Midfielders,0,0,0,0,0,45,244890
551,Imrân Louza,Watford,Midfielders,0,11,0,2,1,52,471471
552,João Pedro Junqueira de Jesus,Watford,Forwards,1,60,0,2,8,54,475168
553,Kwadwo Baah,Watford,Midfielders,0,0,0,0,0,44,493934
554,Emmanuel Dennis,Watford,Forwards,3,139,3,13,40,52,230251
555,Matthew Pollock,Watford,Defenders,0,0,0,0,0,40,467311
556,Oghenekaro Peter Etebo,Watford,Midfielders,0,32,0,6,7,44,227560
557,Joshua King,Watford,Forwards,3,174,3,8,39,56,78007
558,Adedapo Awokoya-Mebude,Watford,Forwards,0,0,0,0,0,45,243569
559,Juan Camilo Hernández Suárez,Watford,Forwards,1,97,1,12,18,50,244716
560,Juraj Kucka,Watford,Midfielders,0,47,1,15,21,55,69143
561,Ozan Tufan,Watford,Midfielders,0,52,0,4,6,50,130036
562,Robert Elliot,Watford,Goalkeepers,0,0,0,0,0,40,19838
563,Nicolas Nkoulou,Watford,Defenders,0,10,0,1,3,45,52775
564,Kurt Zouma,West Ham,Defenders,0,4,1,8,26,54,103192
565,Mark Noble,West Ham,Midfielders,0,0,0,0,0,44,18073
566,Darren Randolph,West Ham,Goalkeepers,0,0,0,0,0,44,32259
567,Lukasz Fabianski,West Ham,Goalkeepers,0,0,0,13,37,50,37096
568,Angelo Ogbonna,West Ham,Defenders,0,5,1,11,40,50,40669
569,Winston Reid,West Ham,Defenders,0,0,0,0,0,39,48717
570,Aaron Cresswell,West Ham,Defenders,2,231,1,13,48,55,55459
571,Andriy Yarmolenko,West Ham,Midfielders,0,14,0,1,7,52,56377
572,Michail Antonio,West Ham,Forwards,4,276,6,11,61,82,57531
573,Craig Dawson,West Ham,Defenders,0,15,0,7,14,49,60232
574,Ryan Fredericks,West Ham,Defenders,0,0,0,0,1,44,81012
575,Manuel Lanzini,West Ham,Midfielders,1,15,0,1,8,58,86934
576,Arthur Masuaku,West Ham,Defenders,0,0,0,0,1,44,105717
577,Vladimir Coufal,West Ham,Defenders,1,137,0,10,19,48,164555
578,Saïd Benrahma,West Ham,Midfielders,3,235,3,12,57,64,172841
579,Jarrod Bowen,West Ham,Midfielders,6,288,2,13,55,63,178186
580,Declan Rice,West Ham,Midfielders,3,169,1,13,41,50,204480
581,Tomas Soucek,West Ham,Midfielders,1,91,1,13,35,58,215439
582,Pablo Fornals,West Ham,Midfielders,2,270,4,13,51,60,217593
583,Issa Diop,West Ham,Defenders,0,0,0,0,0,43,219924
584,Ben Johnson,West Ham,Defenders,0,40,1,3,23,40,222018
585,Alphonse Areola,West Ham,Goalkeepers,0,0,0,0,0,48,84182
586,Frederik Alves,West Ham,Defenders,0,0,0,0,0,40,486870
587,Conor Coventry,West Ham,Midfielders,0,0,0,0,0,45,222017
588,Jamal Baptiste,West Ham,Defenders,0,0,0,0,0,40,462384
589,Nikola Vlasic,West Ham,Midfielders,0,15,0,1,5,58,180151
590,Alex Kral,West Ham,Midfielders,0,0,0,0,0,44,195728
591,Harrison Ashby,West Ham,Defenders,0,0,0,0,0,40,441024
592,João Filipe Iria Santos Moutinho,Wolves,Midfielders,0,239,0,11,24,50,19624
593,Rui Pedro dos Santos Patrício,Wolves,Goalkeepers,0,0,0,0,0,50,38533
594,Willy Boly,Wolves,Defenders,0,0,0,0,0,49,90585
595,Conor Coady,Wolves,Defenders,0,7,1,12,32,45,94147
596,Raúl Jiménez,Wolves,Forwards,3,256,2,10,43,77,102057
597,Romain Saïss,Wolves,Defenders,0,35,1,12,30,50,107613
598,Fernando Marçal,Wolves,Defenders,2,67,0,8,29,44,111291
599,Jonathan Castro Otto,Wolves,Defenders,0,0,0,0,0,45,114128
600,Leander Dendoncker,Wolves,Midfielders,1,40,0,3,13,48,151589
601,Adama Traoré,Wolves,Midfielders,1,190,0,8,22,58,159533
602,Rúben Diogo da Silva Neves,Wolves,Midfielders,0,197,1,12,25,54,171317
603,Nélson Cabral Semedo,Wolves,Defenders,0,97,0,10,26,49,200402
604,Daniel Castelo Podence,Wolves,Midfielders,1,40,0,3,13,55,200600
605,Max Kilman,Wolves,Defenders,0,34,1,12,31,45,214048
606,Morgan Gibbs-White,Wolves,Midfielders,0,1,0,0,1,45,222531
607,Pedro Lomba Neto,Wolves,Midfielders,0,0,0,0,0,64,247632
608,Owen Otasowie,Wolves,Midfielders,0,0,0,0,0,45,250604
609,Ki-Jana Hoever,Wolves,Defenders,0,17,0,2,3,39,441271
610,Andreas Söndergaard,Wolves,Goalkeepers,0,0,0,0,0,40,448487
611,Fabio Silva,Wolves,Forwards,0,11,0,0,7,57,449988
612,Yerson Mosquera Valdelamar,Wolves,Defenders,0,0,0,0,0,45,501837
613,John Ruddy,Wolves,Goalkeepers,0,0,0,0,0,44,19236
614,Francisco Machado Mota de Castro Trincão,Wolves,Midfielders,0,107,0,7,18,58,222564
615,Rayan Ait Nouri,Wolves,Defenders,1,42,0,3,12,43,448514
616,José Malheiro de Sá,Wolves,Goalkeepers,1,30,0,12,40,50,149065
617,Patrick Cutrone,Wolves,Forwards,0,0,0,0,0,50,209353
618,Luke Cundle,Wolves,Midfielders,0,0,0,0,0,45,245923
619,Chem Campbell,Wolves,Midfielders,0,0,0,0,0,45,461026
620,Christian Marques,Wolves,Defenders,0,0,0,0,0,40,481626
621,Hee-Chan Hwang,Wolves,Forwards,0,55,4,7,38,58,184754
622,Louie Moulden,Wolves,Goalkeepers,0,0,0,0,0,40,242510
623,James Storer,Wolves,Goalkeepers,0,0,0,0,0,40,518504
