id,assist,chance_created,goals_score,total_points,saves,clean_sheet
226,10,14,0,22,10,20
227,0,0,0,0,10,0
228,0,0,0,0,10,0
229,0,53,0,24,10,30
230,20,13,10,47,10,30
231,0,3,0,32,280,30
232,20,25,0,32,10,30
233,0,4,0,3,10,0
234,40,24,20,45,10,20
235,10,24,10,25,10,10
236,0,0,0,12,10,10
237,0,2,10,11,10,0
238,0,8,30,23,10,10
239,0,0,0,7,10,10
240,0,13,0,19,10,20
241,10,21,20,23,10,20
242,0,0,0,0,10,0
243,0,0,0,1,20,0
244,20,67,30,52,10,30
245,20,47,30,48,10,30
246,0,0,0,1,10,0
247,0,15,0,10,10,10
248,0,0,0,2,10,0
249,0,0,0,0,10,0
250,0,0,0,0,10,0
251,0,0,0,1,10,0
252,0,0,0,0,10,0
253,0,0,0,0,10,0
254,0,10,0,11,10,20
255,0,0,0,0,10,0
256,0,0,0,2,10,0
257,0,0,0,0,10,0
258,0,0,0,0,10,0
259,0,0,0,0,10,0
260,0,0,0,0,10,0
261,0,0,0,31,400,10
262,0,0,0,6,10,0
263,0,8,10,10,10,0
264,0,0,0,0,10,0
265,0,0,0,0,10,0
266,10,27,70,60,10,10
267,0,0,0,0,10,0
268,20,17,0,21,10,10
269,0,4,0,12,10,10
270,0,12,0,13,10,0
271,20,66,30,51,10,10
272,20,16,0,9,10,10
273,0,20,10,25,10,10
274,20,21,10,26,10,0
275,0,0,0,1,10,0
276,10,22,10,27,10,10
277,0,4,0,13,10,10
278,0,2,10,23,10,10
279,0,0,0,0,10,0
280,0,6,0,10,10,10
281,0,0,0,0,10,0
282,0,3,0,11,10,10
283,10,5,10,12,10,0
284,10,12,0,19,10,0
285,0,3,0,4,10,0
286,0,2,0,2,10,0
287,0,0,0,0,10,0
288,0,18,0,10,10,0
289,0,0,0,0,10,0
290,0,0,0,0,10,0
291,10,8,0,22,10,10
292,0,7,10,12,10,0
293,10,33,10,25,10,10
294,0,48,20,26,10,10
295,10,37,0,27,10,10
296,20,9,10,21,10,0
297,0,3,10,24,10,10
298,10,18,0,19,10,10
299,0,0,0,1,10,0
300,0,20,0,10,10,0
301,0,0,0,0,10,0
302,0,0,0,0,10,0
303,0,63,50,50,10,10
304,10,5,0,15,10,10
