id,price,goals_conceded,price_fall,yellow_card,min_per_goal,min_per_assist
564.0,54.0,80.0,60.0,40.0,63.0,126.0
565.0,44.0,0.0,60.0,20.0,0.6,0.6
566.0,44.0,0.0,60.0,20.0,0.0,0.0
567.0,50.0,130.0,50.0,20.0,198.0,198.0
568.0,50.0,110.0,50.0,40.0,92.1,184.2
569.0,39.0,0.0,60.0,20.0,0.0,0.0
570.0,55.0,130.0,50.0,20.0,99.0,66.0
571.0,52.0,10.0,80.0,20.0,7.2,7.2
572.0,82.0,110.0,-20.0,60.0,25.657142857142855,35.92
573.0,49.0,70.0,60.0,20.0,88.2,88.2
574.0,44.0,0.0,60.0,20.0,0.4,0.4
575.0,58.0,10.0,70.0,20.0,9.4,4.7
576.0,44.0,0.0,60.0,20.0,0.8,0.8
577.0,48.0,100.0,70.0,20.0,127.4,63.7
578.0,64.0,120.0,10.0,20.0,45.55,45.55
579.0,63.0,130.0,70.0,40.0,64.13333333333334,27.485714285714284
580.0,50.0,130.0,50.0,80.0,99.0,49.5
581.0,58.0,130.0,70.0,60.0,97.8,97.8
582.0,60.0,130.0,50.0,80.0,38.92,64.86666666666666
583.0,43.0,0.0,70.0,20.0,0.0,0.0
584.0,40.0,30.0,50.0,20.0,36.1,72.2
585.0,48.0,0.0,70.0,20.0,0.0,0.0
586.0,40.0,0.0,50.0,20.0,0.0,0.0
587.0,45.0,0.0,50.0,20.0,0.0,0.0
588.0,40.0,0.0,50.0,20.0,0.0,0.0
589.0,58.0,10.0,70.0,20.0,21.4,21.4
590.0,44.0,0.0,60.0,20.0,0.0,0.0
591.0,40.0,0.0,50.0,20.0,0.0,0.0
592.0,50.0,110.0,50.0,60.0,185.6,185.6
593.0,50.0,0.0,50.0,20.0,0.0,0.0
594.0,49.0,0.0,60.0,20.0,0.0,0.0
595.0,45.0,120.0,50.0,40.0,98.6,197.2
596.0,77.0,100.0,30.0,60.0,60.06666666666666,45.05
597.0,50.0,120.0,50.0,80.0,93.8,187.6
598.0,44.0,80.0,60.0,60.0,136.8,45.6
599.0,45.0,0.0,50.0,20.0,0.0,0.0
600.0,48.0,30.0,70.0,40.0,63.4,31.7
601.0,58.0,80.0,70.0,20.0,128.6,64.3
602.0,54.0,120.0,60.0,80.0,81.3,162.6
603.0,49.0,100.0,60.0,20.0,172.8,172.8
604.0,55.0,30.0,50.0,20.0,36.0,18.0
605.0,45.0,120.0,50.0,60.0,99.0,198.0
606.0,45.0,0.0,50.0,40.0,1.4,1.4
607.0,64.0,0.0,60.0,20.0,0.0,0.0
608.0,45.0,0.0,50.0,20.0,0.0,0.0
